Subject,areaid,enddataarea,rowID,member,startdataarea,usageid,areamanagerid,areadesc,type,location
row-vg8d-zeja-hjtw,518_LEY2,29991231,row-vg8d-zeja-hjtw,t5pc-eb34,20131030,GARAGEP,2062,Garage Leyweg 2 (Den Haag),t5pc-eb34,140
row-k8x7_p8wu.p3zf,772_WIT,29991231,row-k8x7_p8wu.p3zf,t5pc-eb34,20131030,GARAGEP,2062,Garage De Witte Dame (Eindhoven),t5pc-eb34,107
row-9k98.8xfh.m4j2,687_KOU,29991231,row-9k98.8xfh.m4j2,t5pc-eb34,20131010,GARAGEP,687,Garage Kousteensedijk (Middelburg),t5pc-eb34,89
row-9mxb_64yb_sevu,518_LAAK,29991231,row-9mxb_64yb_sevu,t5pc-eb34,20131125,GARAGEP,2448,Garage Laakhaven (Den Haag),t5pc-eb34,71
row-pvea-gcvi-k6n4,344_P2,29991231,row-pvea-gcvi-k6n4,t5pc-eb34,20131108,GARAGEP,2449,Garage Hoog Catharijne P2 (Utrecht),t5pc-eb34,41
row-paiz~vbfq_myaw,363_P22,29991231,row-paiz~vbfq_myaw,t5pc-eb34,20131118,GARAGEP,2448,Garage Amsterdamse Poort P22 (Amsterdam),t5pc-eb34,132
row-ds57~9bd4-4eic,344_P3,29991231,row-ds57~9bd4-4eic,t5pc-eb34,20131108,GARAGEP,2449,Garage P3 Radboud (Utrecht),t5pc-eb34,201
row-7tx9_m33y~pbbb,268_DUK,29991231,row-7tx9_m33y~pbbb,t5pc-eb34,20131105,GARAGEP,2062,Garage Dukenburg (Nijmegen),t5pc-eb34,16
row-hjch_5yxs~jsm8,193_MAAG,29991231,row-hjch_5yxs~jsm8,t5pc-eb34,20140101,GARAGEP,2448,Garage Maagjesbolwerk (Zwolle),t5pc-eb34,56
row-rxrb_cqwe~2drc,553_MADE,29991231,row-rxrb_cqwe~2drc,t5pc-eb34,20131016,GARAGEP,553,Garage Madelief (Lisse),t5pc-eb34,58
row-beck-acn4~rww5,356_ANTON,29991231,row-beck-acn4~rww5,t5pc-eb34,20140101,GARAGEP,2448,Sint Antonius Ziekenhuis (Nieuwegein),t5pc-eb34,146
row-ia3v-gh95.j2gu,938_PROO,29991231,row-ia3v-gh95.j2gu,t5pc-eb34,20131010,GARAGEP,938,Garage Proosdijpark (Meerssen),t5pc-eb34,153
row-4m8z-svgd-g3e9,200_ORAN,29991231,row-4m8z-svgd-g3e9,t5pc-eb34,20131122,GARAGEP,2448,Garage Oranjerie (Apeldoorn),t5pc-eb34,162
row-anpj_xu5y-t7ad,363_WEST,29991231,row-anpj_xu5y-t7ad,t5pc-eb34,20131121,GARAGEP,2448,"""Garage Westergasfabriek, voorheen Westerpark (Amsterdam)""",t5pc-eb34,94
row-jnvg-49rv_8e5d,106_KOLK,29991231,row-jnvg-49rv_8e5d,t5pc-eb34,20131107,GARAGEP,2449,Garage De Nieuwe Kolk (Assen),t5pc-eb34,230
row-gt7j.q5b6_pgcz,362_SCHO,29991231,row-gt7j.q5b6_pgcz,t5pc-eb34,20131118,GARAGEP,2448,Garage Schouwburg (Amstelveen),t5pc-eb34,74
